age,mx_male,qx_male,lx_male,dx_male,ex_male,mx_female,qx_female,lx_female,dx_female,ex_female
0,0.004285,0.004276,100000,427.6,79.18,0.003496,0.00349,100000,349,82.86
1,0.000271,0.000271,99572.4,27,78.52,0.000231,0.000231,99651,23.1,82.15
2,0.000154,0.000154,99545.4,15.3,77.54,0.00014,0.00014,99628,13.9,81.16
3,0.00012,0.00012,99530.1,12,76.56,0.000097,0.000097,99614.1,9.7,80.18
4,0.000102,0.000102,99518.1,10.2,75.57,0.000083,0.000083,99604.4,8.3,79.18
5,0.000092,0.000092,99507.9,9.2,74.57,0.000069,0.000069,99596.1,6.9,78.19
6,0.000078,0.000078,99498.7,7.7,73.58,0.000073,0.000073,99589.2,7.3,77.2
7,0.000083,0.000083,99491,8.3,72.59,0.000068,0.000068,99581.9,6.7,76.2
8,0.00007,0.00007,99482.7,7,71.59,0.000062,0.000062,99575.2,6.1,75.21
9,0.000078,0.000078,99475.8,7.7,70.6,0.00006,0.00006,99569,6,74.21
10,0.000078,0.000078,99468,7.7,69.6,0.000051,0.000051,99563.1,5.1,73.22
11,0.000091,0.000091,99460.3,9.1,68.61,0.000073,0.000073,99558,7.2,72.22
12,0.000095,0.000095,99451.2,9.4,67.61,0.000074,0.000074,99550.7,7.4,71.22
13,0.000106,0.000106,99441.8,10.5,66.62,0.000091,0.000091,99543.4,9,70.23
14,0.000118,0.000118,99431.3,11.7,65.63,0.000107,0.000107,99534.3,10.6,69.24
15,0.00017,0.00017,99419.6,16.9,64.63,0.000126,0.000126,99523.7,12.5,68.24
16,0.00022,0.00022,99402.7,21.8,63.65,0.000151,0.000151,99511.2,15,67.25
17,0.000302,0.000302,99380.9,30,62.66,0.000153,0.000153,99496.2,15.2,66.26
18,0.000399,0.000399,99350.9,39.6,61.68,0.000209,0.000209,99480.9,20.8,65.27
19,0.000439,0.000439,99311.3,43.6,60.7,0.0002,0.0002,99460.1,19.9,64.29
20,0.000467,0.000467,99267.7,46.3,59.73,0.000204,0.000204,99440.2,20.3,63.3
21,0.000496,0.000496,99221.4,49.2,58.76,0.000211,0.000211,99419.9,20.9,62.31
22,0.000494,0.000494,99172.2,49,57.79,0.000204,0.000204,99398.9,20.3,61.32
23,0.000529,0.000529,99123.3,52.4,56.81,0.000226,0.000226,99378.6,22.5,60.34
24,0.000535,0.000535,99070.9,53,55.84,0.000215,0.000215,99356.1,21.3,59.35
25,0.00062,0.00062,99017.9,61.4,54.87,0.000242,0.000242,99334.8,24,58.36
26,0.000573,0.000573,98956.5,56.7,53.91,0.000268,0.000268,99310.8,26.6,57.38
27,0.000614,0.000614,98899.9,60.7,52.94,0.000277,0.000277,99284.2,27.5,56.39
28,0.000679,0.000679,98839.2,67.1,51.97,0.000309,0.000309,99256.7,30.6,55.41
29,0.000684,0.000684,98772,67.5,51,0.000332,0.000332,99226.1,33,54.42
30,0.000725,0.000725,98704.5,71.5,50.04,0.000375,0.000375,99193.1,37.2,53.44
31,0.000769,0.000769,98633,75.8,49.08,0.000401,0.000401,99155.9,39.8,52.46
32,0.000927,0.000927,98557.2,91.3,48.11,0.000479,0.000479,99116.1,47.5,51.48
33,0.000888,0.000888,98465.8,87.4,47.16,0.0005,0.0005,99068.6,49.5,50.51
34,0.000977,0.000977,98378.4,96.1,46.2,0.000509,0.000508,99019.1,50.3,49.53
35,0.001026,0.001026,98282.3,100.8,45.24,0.000588,0.000588,98968.7,58.2,48.56
36,0.001161,0.001161,98181.5,114,44.29,0.00066,0.00066,98910.6,65.3,47.59
37,0.001192,0.001191,98067.6,116.8,43.34,0.000731,0.00073,98845.3,72.2,46.62
38,0.001241,0.001241,97950.8,121.5,42.39,0.00073,0.00073,98773.1,72.1,45.65
39,0.001394,0.001393,97829.2,136.3,41.44,0.000842,0.000841,98701,83,44.68
40,0.001502,0.001501,97692.9,146.6,40.5,0.000931,0.00093,98618,91.8,43.72
41,0.001715,0.001713,97546.3,167.1,39.56,0.000976,0.000976,98526.2,96.1,42.76
42,0.001813,0.001811,97379.2,176.4,38.63,0.001076,0.001076,98430.1,105.9,41.8
43,0.001989,0.001987,97202.8,193.2,37.7,0.001144,0.001144,98324.2,112.4,40.85
44,0.002099,0.002096,97009.7,203.4,36.77,0.001295,0.001294,98211.7,127.1,39.89
45,0.002204,0.002202,96806.3,213.2,35.85,0.001442,0.001441,98084.7,141.3,38.94
46,0.002373,0.00237,96593.1,229,34.92,0.001529,0.001528,97943.3,149.7,38
47,0.002745,0.002741,96364.2,264.2,34.01,0.001657,0.001655,97793.7,161.9,37.06
48,0.002801,0.002797,96100,268.8,33.1,0.001778,0.001776,97631.8,173.4,36.12
49,0.003112,0.003107,95831.2,297.8,32.19,0.00192,0.001919,97458.4,187,35.18
50,0.003407,0.003402,95533.4,325,31.29,0.002144,0.002142,97271.4,208.4,34.25
51,0.003507,0.003501,95208.4,333.3,30.39,0.002352,0.002349,97063,228,33.32
52,0.00382,0.003813,94875.1,361.7,29.5,0.002579,0.002576,96835,249.4,32.4
53,0.003976,0.003968,94513.3,375,28.61,0.002811,0.002807,96585.6,271.1,31.48
54,0.004418,0.004408,94138.3,415,27.72,0.003019,0.003014,96314.5,290.3,30.57
55,0.004935,0.004923,93723.4,461.4,26.84,0.003295,0.00329,96024.1,315.9,29.66
56,0.005482,0.005467,93262,509.9,25.97,0.003618,0.003611,95708.2,345.6,28.75
57,0.005886,0.005868,92752.1,544.3,25.11,0.003868,0.003861,95362.6,368.2,27.86
58,0.006391,0.006371,92207.8,587.4,24.26,0.004236,0.004228,94994.5,401.6,26.96
59,0.007056,0.007031,91620.3,644.2,23.41,0.004775,0.004764,94592.9,450.6,26.07
60,0.007986,0.007955,90976.1,723.7,22.57,0.00518,0.005166,94142.2,486.4,25.2
61,0.008651,0.008614,90252.4,777.4,21.75,0.005636,0.00562,93655.9,526.3,24.32
62,0.009368,0.009324,89475,834.3,20.93,0.006302,0.006282,93129.5,585.1,23.46
63,0.010539,0.010484,88640.7,929.3,20.13,0.006878,0.006855,92544.5,634.4,22.6
64,0.011513,0.011447,87711.4,1004,19.33,0.007344,0.007317,91910.1,672.5,21.76
65,0.012319,0.012244,86707.4,1061.6,18.55,0.00791,0.007878,91237.6,718.8,20.91
66,0.013587,0.013496,85645.8,1155.8,17.78,0.008923,0.008883,90518.8,804.1,20.08
67,0.014706,0.014599,84490,1233.5,17.01,0.009654,0.009608,89714.8,862,19.25
68,0.01573,0.015607,83256.5,1299.4,16.26,0.010405,0.010351,88852.8,919.8,18.43
69,0.017378,0.017228,81957.1,1412,15.51,0.011582,0.011515,87933,1012.6,17.62
70,0.019016,0.018837,80545.1,1517.2,14.77,0.012751,0.01267,86920.4,1101.3,16.82
71,0.021536,0.021307,79027.9,1683.8,14.04,0.014342,0.01424,85819.1,1222.1,16.03
72,0.023826,0.023546,77344.1,1821.1,13.34,0.016018,0.015891,84597.1,1344.3,15.25
73,0.026358,0.026015,75522.9,1964.7,12.65,0.018096,0.017933,83252.8,1493,14.49
74,0.030029,0.029585,73558.2,2176.2,11.97,0.019863,0.019667,81759.8,1608,13.75
75,0.033498,0.032946,71382,2351.8,11.32,0.022485,0.022235,80151.8,1782.2,13.01
76,0.037101,0.036425,69030.2,2514.4,10.69,0.025789,0.025461,78369.6,1995.4,12.3
77,0.04067,0.03986,66515.8,2651.3,10.08,0.027839,0.027457,76374.2,2097,11.61
78,0.045081,0.044087,63864.5,2815.6,9.47,0.03189,0.03139,74277.2,2331.6,10.92
79,0.050449,0.049207,61048.9,3004.1,8.89,0.035229,0.03462,71945.7,2490.7,10.26
80,0.05679,0.055222,58044.8,3205.3,8.32,0.040488,0.039684,69454.9,2756.3,9.61
81,0.063335,0.06139,54839.5,3366.6,7.78,0.045637,0.044619,66698.7,2976,8.98
82,0.071779,0.069292,51472.9,3566.7,7.26,0.05242,0.051081,63722.6,3255,8.38
83,0.081743,0.078533,47906.2,3762.2,6.76,0.060183,0.058425,60467.6,3532.8,7.8
84,0.09171,0.087689,44144,3870.9,6.29,0.068991,0.06669,56934.8,3797,7.26
85,0.103257,0.098188,40273.1,3954.3,5.85,0.077875,0.074956,53137.8,3983,6.74
86,0.115855,0.109512,36318.7,3977.3,5.43,0.089264,0.08545,49154.8,4200.3,6.25
87,0.130367,0.122389,32341.4,3958.2,5.04,0.101338,0.096451,44954.5,4335.9,5.78
88,0.147147,0.137063,28383.2,3890.3,4.67,0.116361,0.109963,40618.6,4466.6,5.35
89,0.163395,0.151054,24492.9,3699.7,4.33,0.131781,0.123634,36152,4469.6,4.95
90,0.184293,0.168744,20793.1,3508.7,4.01,0.149831,0.139389,31682.4,4416.2,4.57
91,0.205074,0.186002,17284.4,3214.9,3.73,0.167527,0.154579,27266.2,4214.8,4.23
92,0.224253,0.201643,14069.5,2837,3.46,0.187731,0.171622,23051.4,3956.1,3.92
93,0.248067,0.220694,11232.5,2478.9,3.21,0.207961,0.188373,19095.3,3597,3.62
94,0.276652,0.243034,8753.5,2127.4,2.98,0.234098,0.209568,15498.2,3247.9,3.35
95,0.308896,0.26757,6626.1,1773,2.78,0.264612,0.233693,12250.3,2862.8,3.1
96,0.335834,0.28755,4853.2,1395.5,2.61,0.289801,0.253124,9387.5,2376.2,2.9
97,0.360287,0.305291,3457.6,1055.6,2.46,0.309773,0.268228,7011.3,1880.6,2.71
98,0.371862,0.313561,2402.1,753.2,2.33,0.330958,0.283968,5130.7,1456.9,2.52
99,0.42218,0.348595,1648.9,574.8,2.16,0.373634,0.31482,3673.7,1156.6,2.32
100,0.477785,0.385655,1074.1,414.2,2.05,0.410964,0.340913,2517.2,858.1,2.16
